Name_of_State,No_of_Constituencies,SC_Reservation,ST_Reservation
Andhra Pradesh,25,4,1
Arunanchal Pradesh,2,0,0
Assam,14,1,2
Bihar,40,6,0
Chhattisgarh,11,1,4
Goa,2,0,0
Gujarat,26,2,4
Haryana,10,2,0
Himachal Pradesh,4,1,0
Jammu & Kashmir,6,0,0
Jharkhand,14,1,5
Karnataka,28,5,2
Kerala,20,2,0
Madhya Pradesh,29,4,6
Maharashtra,48,5,4
Manipur,2,0,1
Meghalaya,2,0,2
Mizoram,1,0,1
Nagaland,1,0,0
Odisha,21,3,5
Punjab,13,4,0
Rajasthan,25,4,3
Sikkim,1,0,0
Tamil Nadu,39,7,0
Telangana,17,3,2
Tripura,2,0,1
Uttar Pradesh,80,17,0
Uttarakhand,5,1,0
West Bengal,42,10,2
Andaman & Nicobar Island,1,0,0
Chandigarh,1,0,0
Dadara & Nagar Havelli,1,0,1
Daman & Diu,1,0,0
Lakshadweep,1,0,1
NCT of Delhi,7,1,0
Puducherry,1,0,0
