Name_of_State,Beneficiaries,Balance_in_Beneficiary,No_of_RuPay,Percentage
Andaman & Nicobar Island,51230,23.26,40324,13.46
Andhra Pradesh,9301106,1622.72,7638053,11.00
Arunanchal Pradesh,274381,86.31,233986,19.83
Assam,14286319,3106.48,11221753,45.78
Bihar,37629163,8483.79,31663962,36.15
Chandigarh,233263,97.44,191402,22.10
Chhattisgarh,13763497,2650.21,9788863,53.88
Dadara & Nagar Havelli,107150,43.38,72251,31.17
Daman & Diu,47524,18.33,36645,19.54
NCT of Delhi,4186442,1613.52,3578002,24.94
Goa,152114,85.75,124918,10.43
Gujarat,12919790,3685.06,10740753,21.38
Haryana,6656771,2707.13,5819527,26.26
Himachal Pradesh,1001694,508.34,820448,14.59
Jammu & Kashmir,2040419,855.68,1595159,16.27
Jharkhand,11966518,2704.2,10175062,36.28
Karnataka,12548074,2868.81,9735177,20.54
Kerala,3571492,1112.84,2640030,10.69
Lakshadweep,5109,7.62,4929,7.92
Madhya Pradesh,29527324,4338.31,23511957,40.66
Maharashtra,23678500,5049.62,16943204,21.07
Manipur,880833,191.43,685913,30.84
Meghalaya,463202,215.52,290853,15.61
Mizoram,296916,75.47,80249,27.06
Nagaland,254211,45.83,206702,12.85
Odisha,13398780,3796.32,9620379,31.92
Puducherry,140861,35.44,117215,11.29
Punjab,6148753,2358.31,5261591,22.16
Rajasthan,23865425,6367.47,18735976,34.82
Sikkim,91439,32.45,76051,14.98
Tamil Nadu,9333801,1595.1,8113448,12.94
Telangana,9336221,1456.51,7480860,26.53
Tripura,857140,655.63,660089,23.33
Uttar Pradesh,52106975,14922.77,41194769,26.08
Uttarakhand,2351741,982.11,1990361,23.32
West Bengal,32674578,11514.77,26735385,35.80
