Name_of_State,Shishu_No_Of_Account,Shishu_Disbursement_Amt,Kishore_No_Of_Account,Kishore_Disbursement_Amt,Tarun_No_Of_Account,Tarun_Disbursement_Amt,Total_No_Of_Account,Total_Disbursement_Amt
Andaman & Nicobar Island,19068,72,10787,168,2046,151,31901,391
Andhra Pradesh,1332513,3464,780918,13033,71671,5240,2185102,21737
Arunanchal Pradesh,16976,44,3216,88,1546,121,21738,254
Assam,3163157,8664,211905,2924,20968,1536,3396030,13123
Bihar,9996311,21986,469809,7862,56896,4399,10523016,34248
Chandigarh,41624,86,13424,375,4853,374,59901,835
Chhattisgarh,2316986,4867,137206,2543,32539,2457,2486731,9867
Dadara & Nagar Havelli,5448,17,1277,25,506,38,7231,80
Daman & Diu,1768,2,871,19,330,25,2969,47
NCT of Delhi,636653,1550,154092,4238,70415,5128,861160,10916
Goa,85186,246,24635,521,6336,466,116157,1233
Gujarat,3150419,8105,434001,8915,106666,7785,3691086,24805
Haryana,2006961,4590,185958,3863,55566,4142,2248485,12595
Himachal Pradesh,150893,315,88667,2031,20847,1635,260407,3981
Jammu & Kashmir,62178,202,166715,3531,21918,1597,250811,5331
Jharkhand,2917340,6143,159268,3385,32524,2459,3109132,11988
Karnataka,11765216,27590,1031711,17325,164753,11345,12961680,56261
Kerala,3517940,6364,522578,9174,61958,4612,4102476,20150
Lakshadweep,1474,3,714,13,69,5,2257,21
Madhya Pradesh,7586594,17055,409163,8328,97609,6936,8093366,32319
Maharashtra,9537197,21506,729921,15752,208721,15357,10475839,52615
Manipur,68015,175,9419,177,1638,111,79072,463
Meghalaya,59666,171,9987,223,2259,166,71912,560
Mizoram,15355,61,10807,186,983,75,27145,321
Nagaland,23039,74,5605,120,1682,111,30326,305
Odisha,8128975,16219,245876,4656,45491,3277,8420342,24153
Puducherry,327053,820,32449,552,4201,328,363703,1699
Punjab,1881941,4604,228630,4691,68807,5226,2179378,14521
Rajasthan,3513848,8015,471460,10146,126096,9415,4111404,27575
Sikkim,42835,106,4603,90,904,68,48342,264
Tamil Nadu,14872689,32366,942054,15717,136846,10151,15951589,58234
Telangana,1303490,2980,306105,6335,63175,4592,1672770,13906
Tripura,668674,1903,49441,638,3137,225,721252,2766
Uttar Pradesh,10189275,21003,737075,14885,157796,11921,11084146,47809
Uttarakhand,761747,1871,115898,2470,23724,1799,901369,6139
West Bengal,11400150,26908,680592,10333,81597,5950,12162339,43191
