Constituency,BJP,INC
Adilabad,,24.58873827
Agra,54.53225648,3.254282258
Ahmadabad (East),64.22354809,31.11413181
Ahmadabad (West),63.91151249,30.73791375
Ahmadnagar,56.94358193,
Ajmer,55.13805822,40.27178578
Akbarpur,49.57383205,9.967285948
Akola,46.64398189,25.88884461
Alappuzha,,46.31474702
Alathur,9.454846574,40.32666563
Aligarh,48.33506622,5.886557396
Alipurduars,27.41159465,9.52615698
Allahabad,35.19063294,11.49046415
Almora,53.0016714,38.43552016
Alwar,60.41881655,33.71293541
Ambala,50.16871222,22.29664993
Ambedkar Nagar,41.77198181,2.201684978
Amethi,34.37622875,46.70980441
Amlapuram,,1.085753298
Amravati,,
Amreli,53.94107076,34.64399746
Amritsar,37.735658,47.93832139
Amroha,48.26009791,
Anakapalli,,1.546123554
Anand,50.53518,44.0049132
Anandpur Sahib,,29.7655972
Anantapur,,1.379233539
Anantnag,1.257724212,
Andaman & Nicobar Islands,47.79139042,43.68728526
Aonla,41.16288435,9.425526979
Arakkonam,,5.169618204
Araku,,5.787021332
Arambag,11.62858954,2.045129024
Arani,,2.527657223
Araria,26.79550283,
Arrah,43.77607458,
Arunachal East,50.15740173,37.7968496
Arunachal West,40.27139692,45.01305304
Asansol,36.75080024,4.244189201
Aska,7.514102677,25.59799032
Attingal,10.53428985,37.59752841
Aurangabad,,45.64197258
Aurangabad1,39.16120467,30.72378176
Autonomous District,34.7712137,39.20274702
Azamgarh,28.84676244,1.868623777
Bagalkot,52.95425655,42.15490437
Baghpat,42.14662917,
Baharampur,7.071608086,50.53676187
Bahraich,46.27829568,2.613744608
Balaghat,43.16527765,34.53920985
Baleshwar,27.80777646,26.43368979
Ballia,38.1797246,1.432808893
Balurghat,20.97170972,7.590247921
Banas Kantha,57.23185247,34.43021256
Banda,39.83584278,4.26813433
Bangalore Central,51.84524131,39.04980635
Bangalore North,52.91329326,35.98842918
Bangalore Rural,28.93927632,44.84188759
Bangalore South,56.87718231,36.36539033
Bangaon,19.05968791,3.415565091
Banka,30.57796655,
Bankura,20.31217527,1.780751132
Bansgaon,47.60835666,5.772225203
Banswara,49.29056038,41.44447062
Bapatla,,1.944952582
Barabanki,42.52267197,22.68704671
Barakpur,21.88875166,2.896731902
Baramati,,
Baramula,1.407178369,
Barasat,23.3519451,3.201161425
Barddhaman - Durgapur,17.81176693,3.330625081
Barddhaman Purba,12.93034803,5.213981864
Bardoli,51.48514933,41.24349273
Bareilly,50.90442982,8.271584324
Bargarh,33.03742919,24.38478608
Barmer,40.08837131,18.11726628
Barpeta,29.19205928,23.01506822
Basirhat,18.35725246,8.0159487
Bastar,50.1094845,33.95837771
Basti,34.11222663,2.639196062
Bathinda,,42.08510447
Beed,51.60663426,
Begusarai,39.71931107,
Belgaum,51.38334096,44.3526398
Bellary,51.09468952,42.95405067
Berhampur.,17.53010432,29.84624691
Betul,61.42722033,30.06574559
Bhadrak,20.02059205,29.85098492
Bhagalpur,36.76275705,
Bhandara - Gondiya,50.62051214,
Bharatpur,60.16810647,34.69603341
Bharuch,51.73147607,37.28620436
Bhavnagar,59.85215827,27.66897132
Bhilwara,57.08586468,34.7824945
Bhind,55.455484,33.52400095
Bhiwani - Mahendragarh,39.22424534,25.99633299
Bhongir,15.1103536,34.43612718
Bhopal,63.18588033,30.38908024
Bhubaneswar,28.00300014,16.34415522
Bidar,47.68346543,38.10898188
Bijapur,48.79586925,41.57418776
Bijnor,45.91742816,
Bikaner,62.84415202,29.74464044
Bilaspur,51.47586199,35.29772608
Birbhum,18.47669341,10.35183252
Bishnupur,14.1128953,2.126721269
Biwandi,46.9357649,34.4388192
Bolangir,29.8233673,23.70838995
Bolpur,15.13138839,3.597760106
Budaun,32.30913845,
Bulandshahr,59.83470567,
Buldana,,
Buxar,35.87823004,
Chalakudy,10.49086083,38.93125372
Chamrajnagar,37.64142003,50.09873593
Chandauli,42.23049108,2.773047375
Chandigarh,42.20041459,26.84249989
Chandni Chowk,44.58405233,17.93856099
Chandrapur,45.7747989,24.48715546
Chatra,41.49653567,16.52725182
Chennai Central,,3.186957284
Chennai North,,2.656922056
Chennai South,23.79413342,2.236590683
Chevella,,27.38037619
Chhindwara,40.01495083,50.53623454
Chhota Udaipur,55.18366991,38.86874185
Chidambaram,,2.662277906
Chikkaballapura,32.85674387,33.60996146
Chikkodi,43.99180584,44.27206847
Chitradurga,33.36351859,42.59137115
Chittaurgarh,59.95207149,32.93947043
Chittoor,,1.381993884
Churu,52.63187653,15.62923502
Coimbatore,33.12018167,4.841126372
Cuddalore,,2.70523496
Cuttack,14.89899608,22.36720799
Dadra & Nagar Haveli,48.86767801,45.10899809
Dakshina Kannada,53.22524414,41.32469569
Daman & Diu,53.83283849,43.26115117
Damoh,56.14366626,32.80342456
Darbhanga,37.97819578,
Darjiling,42.72851222,7.882761469
Dausa,33.84379555,19.47232902
Davanagere,46.53206975,44.95315353
Deoria,51.07184003,3.883311389
Dewas,58.17816005,35.42653024
Dhanbad,47.51023869,21.90114035
Dhar,51.84401496,42.15757456
Dharmapuri,,1.401555995
Dharwad,52.36780704,41.45467464
Dhaurahra,33.98715804,16.12734067
Dhenkanal,30.31701997,20.51547292
Dhubri,21.82815199,26.48997388
Dhule,53.85427559,40.55747236
Diamond Harbour,15.92432738,4.998461939
Dibrugarh,55.47614318,34.67702207
Dindigul,,3.288028207
Dindori,55.93889001,
Dohad,56.69970658,31.14556235
Domriaganj,31.96104078,9.42398578
Dum Dum,22.47475527,3.008993642
Dumka,32.86429946,
Durg,43.98542817,45.32348218
East Delhi,47.81375263,16.982931
Eluru,,0.978195466
Ernakulam,11.63495552,41.58383378
Erode,,2.647559383
Etah,51.27784921,
Etawah,46.77617559,1.425375016
Faizabad,48.0829815,12.702912
Faridabad,57.69719134,16.41504529
Faridkot,,24.33508178
Farrukhabad,41.84346314,9.842194017
Fatehgarh Sahib,,30.37244309
Fatehpur,45.97026841,4.406768118
Fatehpur Sikri,44.05850658,
Firozabad,38.06863188,0.674152014
Firozpur,,41.2890902
Gandhinagar,68.03249564,25.54216571
Ganganagar,52.34216744,29.13952318
Garhchiroli - Chimur,52.11490556,29.08342749
Garhwal,59.31018956,32.33325634
Gautam Buddha Nagar,50.00162586,1.061144856
Gaya,40.29585455,
Ghatal,6.934734875,9.002973742
Ghaziabad,56.49894858,14.24403209
Ghazipur,31.10614514,1.916257481
Ghosi,36.52491273,1.857515171
Giridih,40.3517352,
Godda,36.25045492,30.4692457
Gonda,41.15173457,11.70042589
Gopalganj,52.98564614,21.23053597
Gorakhpur,51.79819412,4.39258586
Grand Total,16956.85634,10742.17588
Gulbarga,43.32893158,50.8165629
Guna,40.53153631,52.88726999
Guntur,,3.755128231
Gurdaspur,46.24847039,33.19977598
Gurgaon,48.82303901,10.12481004
Guwahati,50.58594887,29.70418873
Gwalior,44.67853464,41.68187748
Hajipur,,25.41139268
Hamirpur,53.60911954,41.83482023
Hamirpur1,54.308975,9.360402228
Haora,22.04084823,5.618941698
Hardoi,37.05404222,2.394681501
Hardwar,50.37874213,35.25440278
Hassan,14.43861358,35.67467282
Hathras,51.87102886,
Hatkanangle,,38.86461928
Haveri,50.77089275,42.9266156
Hazaribagh,42.0666606,25.61673772
Hindupur,,3.091064811
Hingoli,,44.4514716
Hisar,,8.861389776
Hoshangabad,64.84910687,27.05580318
Hoshiarpur,36.0499895,34.63749607
Hugli,16.3790519,3.125677769
Hyderabad,32.04606028,5.074245964
Idukki,6.148973444,40.41086622
Indore,64.91735863,29.46592904
Inner Manipur,14.41477966,45.54742295
Jabalpur,56.33639656,35.51850411
Jadavpur,12.1995916,2.066645067
Jagatsinghpur,10.36731552,30.72714562
Jaipur,66.46578662,24.94420498
Jaipur Rural,62.28216053,29.52422188
Jajapur,15.35873617,22.51807941
Jalandhar,,36.55717165
Jalaun,49.46199818,7.474145711
Jalgaon,65.39172061,
Jalna,55.46154026,36.0689251
Jalore,53.353308,18.3230473
Jalpaiguri,16.98968013,6.715429202
Jammu,49.34187751,28.86642489
Jamnagar,56.78994688,36.23997496
Jamshedpur,44.2402713,
Jamui,,
